Type,Subtype,X,Y
Player,,0,0
Item,SpeedBoost,0,1
Item,Shield,1,1
Item,Ammo_default,2,1
Item,Ammo_shotgun,3,1
Item,MedStrong,4,1
Item,MedWeak,5,1
Item,TimeSlow,6,1
Item,Fly,7,1
Item,Cloak,8,1
Item,SilverTag,9,1
Item,GoldTag,10,1
Item,Teleporter,11,1
Item,Ammo_sniper,12,1
Item,Ammo_rocket,13,1
Item,Ammo_Laser,14,1
Item,Magnet,15,1
Item,Ammo_Mine,0,2
Item,FireRateIncrease,1,2
Block,Tree,0,3
Block,Box,1,3
Block,OilBarrel_Red,2,3
Block,OilBarrel_Black,3,3
Block,BarbedFence,4,3
Block,Oil,5,3
Enemy,BossTank,0,4
Enemy,SmallEnemy,1,4
Enemy,ExplodingTank,2,4
Enemy,Turret,3,4
Enemy,TurningTank,4,4
Enemy,Plane,5,4
